region; plant_type; bloom_period; common_name; scientific_name; life_cycle; flower_color; max_height; water_needs; notes
Midwest Region; Shrubs & Trees; Early; Cockspur hawthorn; Crataegus crus-galli; Perennial; White; 35; Low; Tough native tree that attracts bumble bees, honey bees, species of mining bees (Andrena spp.), as well as songbirds. Larval host plant to over 25 species of moths.
Midwest Region; Shrubs & Trees; Early; Ninebark; Physocarpus opulifolius; Perennial; White; 8; Medium; Tolerates some shade and a variety of soil conditions. Attracts bees, butterflies, beneficial wasps, and flies.
Midwest Region; Shrubs & Trees; Early; Prairie willow; Salix humilis; Perennial; White, Green; 8; Low; Important for spring pollinators. Pollen-producing and nectar-producing flowers are found on separate shrubs. Supports songbirds.
Midwest Region; Shrubs & Trees; Mid; Buttonbush; Cephalanthus occidentalis; Perennial; White; 12; High; Prefers moist soil, great for rain gardens. Attracts bees, butterflies, and skippers. Larval host plant to several moths.
Midwest Region; Shrubs & Trees; Mid; Lead plant; Amorpha canescens; Perennial; Purple; 3; Low; Tolerates a variety of soil types (prefers drier soils and full sun). Attracts leafcutter bees (Megachile spp.), honey bees, and other insects.
Northeast Region; Forbs; Early; Golden Alexanders; Zizia aurea; Perennial; Yellow; 3; High; Larval host for the black swallowtail butterfly. Shallow nectaries attract small beneficial wasps, bees, and flies.
Northeast Region; Forbs; Early; Wild geranium; Geranium maculatum; Perennial; Pink; 3; Medium; Shade-tolerant. Provides important spring food for mining, cuckoo, mason, sweat, bumble, and small carpenter bees.
Northeast Region; Forbs; Early-Mid; Spiderwort; Tradescantia virginiana; Perennial; Blue; 3; Medium; The attractive flowers of this unique iris-relative are frequented by bumble bees and other pollinators. Shade-tolerant.
Northeast Region; Forbs; Mid; Blue vervain; Verbena hastata; Biennial, Perennial; Blue; 5; High; A preferred nectar plant for bees, butterflies, hover flies, and bee flies. Choose Verbena stricta for drier soils.
Northeast Region; Forbs; Mid; Narrowleaf mountain mint; Pycnanthemum tenuifolium; Perennial; White; 2.5; Low-Medium; This and related species have fragrant foliage and nectar-rich flowers. Very popular with butterflies, beetles, and more.
Northeast Region; Forbs; Mid; Swamp milkweed; Asclepias incarnata; Perennial; Pink; 5; Medium-High; Larval host plant for monarchs. Lovely fragrance attracts insects of all kinds. At drier sites use common or butterfly milkweed.
Northeast Region; Forbs; Mid; Wild bergamot; Monarda fistulosa; Perennial; Purple, Pink; 4; Medium; Hawk moths, hummingbirds, and long-tongued bumble bees (such as Bombus pensylvanicus) are common visitors.
Northeast Region; Forbs; Mid-Late; Boneset; Eupatorium perfoliatum; Perennial; White; 5; High; Flat-topped clusters of fluffy, nectar-rich flowers attract many kinds of insects. Tolerant of partial shade and wet soils.
Northeast Region; Forbs; Mid-Late; Cardinal flower; Lobelia cardinalis; Perennial; Red; 4; High; Striking, scarlet-red tubular flowers attract hummingbirds and swallowtail butterflies.
Northeast Region; Forbs; Mid-Late; Field thistle; Cirsium discolor; Biennial, Perennial; Purple; 6; Medium; Distinct from invasive, non-native thistles. An important plant for butterflies and bumble bees. Grows as a perennial or biennial.
Northeast Region; Forbs; Mid-Late; Wild golden glow; Rudbeckia laciniata; Perennial; Yellow; 7; High; Long bloom period. Shade-tolerant. Visited by bumble bees and other pollinators. Seeds provide food for birds.
Northeast Region; Forbs; Late; Bottle gentian; Gentiana clausa; Perennial; Blue; 2; Medium; This unique fall flower is almost exclusively pollinated by bumble bees, which pry the petals apart to climb inside.
Northeast Region; Forbs; Late; Calico aster; Symphyotrichum lateriflorum; Perennial; White; 3; Medium; The shallow nectaries attract more insect diversity than some larger-flowered aster species. Tolerant of partial shade.
Northeast Region; Forbs; Late; Gray goldenrod; Solidago nemoralis; Perennial; Yellow; 2; Low; Excellent for poor soils where little else will grow. One of the latest blooming goldenrods. Visited by many pollinators, and larval host for numerous moth species.
Northeast Region; Forbs; Late; New England aster; Symphyotrichum novae-angliae; Perennial; Purple; 6; Medium; One of the latest fall-blooming plants. Frequented by honey bees and pre-hibernation bumble bee queens.
Northeast Region; Forbs; Late; Wrinkleleaf goldenrod; Solidago rugosa; Perennial; Yellow; 3; Medium-High; Goldenrods are frequented by beneficial solitary wasps, pollen-eating soldier beetles, bumble bees, and much more.
Northeast Region; Shrubs & Trees; Early; Highbush blueberry; Vaccinium corymbosum; Perennial; White, Pink; 6-12; Medium; Provides food for mining bees, mason bees, and long-tongued bumble bees. Produces delicious fruit. Red fall foliage.
Northeast Region; Shrubs & Trees; Early; Pussy willow; Salix discolor; Perennial; Yellow, Green; 15; Medium-High; Silky gray catkins open into flowers that provide spring forage for bees. A larval host for mourning cloak butterflies (Nymphalis antiopa).
Northeast Region; Shrubs & Trees; Early; Raspberry, blackberry; Rubus spp.; Perennial, Biennial; White; 4; Medium; Hollow canes/prunings make excellent nest sites for cavity-nesting bees. Flowers are pollinated by many kinds of bees.
Northeast Region; Shrubs & Trees; Early-Mid; American basswoood; Tilia americana; Perennial; White; 60; Medium; Also called 'bee tree' for its abundance of very fragrant, nectar-rich flowers which are extremely attractive to bees.
Northeast Region; Shrubs & Trees; Early-Mid; Ninebark; Physocarpus opulifolius; Perennial; White; 8; Low; Deciduous shrub with attractive foliage, peeling bark, and white flowers. Loved by birds, bees, and butterflies.
Northeast Region; Shrubs & Trees; Mid; New Jersey tea; Ceanothus americanus; Perennial; White; 4; Medium; A magnet for many species of flies, wasps, bees, and butterflies. Slow growing and prone to deer browsing.
Northeast Region; Shrubs & Trees; Mid; Virginia rose; Rosa virginiana; Perennial; Pink; 6; Low; Foliage is used by leafcutter bees. Flowers provide food for many pollinators. Exceptional leaf coloration in the fall.
Northeast Region; Shrubs & Trees; Late; Buttonbush; Cephalanthus occidentalis; Perennial; White; 12; High; Larval host plant for numerous moths and butterflies. Pincusion-like flowers are very attractive to butterflies and bees.
Northern Plains Region; Forbs; Early; American vetch; Vicia americana; Perennial; Purple; 1; Low; Vining legume. Visited by bumble bees, honey bees, and sweat bees. Attractive to birds and other wildlife. Larval host for numerous butterflies.
Northern Plains Region; Forbs; Early; Eastern pasqueflower; Pulsatilla patens; Perennial; White, Blue, Purple; 1.5; Low; One of the first wildflowers to bloom. Attractive, silky-soft stems and foliage. Visited by a variety of early flying bees and beneficial flies.
Northern Plains Region; Forbs; Early; Large beardtongue; Penstemon grandiflorus; Perennial; Purple; 3.5; Low; Drought tolerant. Grows well in well-drained poor, gravelly, or sandy soils. Visited by a variety of bees, beneficial wasps, and flies.
Northern Plains Region; Forbs; Early; Prarie spiderwort; Tradescantia occidentalis; Perennial; Purple; 1.5; Low; Tolerates partial shade and drought. Deer-resistant. Attracts bumble bees, honey bees, and beneficial flies.
Northern Plains Region; Forbs; Early-Mid; Purple prairie clover; Dalea purpurea; Perennial; Purple; 3; Medium; Legume. Very attractive to many bees, butterflies, beneficial wasps, flies, and beetles. Larval host for numerous butterflies.
Northern Plains Region; Forbs; Early-Mid; Scarlet globemallow; Sphaeralcea coccinea; Biennial, Perennial; Red, Orange; 1; Low; Sphaeralcea spp. are drought tolerant. Visited by bees and butterflies. Larval host for small and common checkered-skipper butterflies.
Northern Plains Region; Forbs; Mid; Blue giant hyssop; Agastache foeniculum; Perennial; Purple; 2; Low; Fragrant foliage. Reseeds and colonizes readily. Very attractive to bees (including honey bees), butterflies, moths, and beneficial flies.
Northern Plains Region; Forbs; Mid; Golden tickseed; Coreopsis tinctoria; Annual, Biennial, Perennial; Yellow; 3; Medium; Tolerates a wide range of soils and reseeds easily. Attracts bees, butterflies, and many other beneficial insects.
Northern Plains Region; Forbs; Mid; Narrowleaf coneflower; Echinacea angustifolia; Perennial; Pink; 2; Medium; Echinacea spp. are attractive to a wide range of pollinators and a key nectar source for skipper butterflies.
Northern Plains Region; Forbs; Mid; Rocky Mountain beeplant; Cleome serrulata; Annual; White, Pink, Purple; 4; Medium; Annual. Drought tolerant and reseeds readily. Attracts bees and butterflies. Larval host for checkered white butterfly.
Northern Plains Region; Forbs; Mid; Showy milkweed; Asclepias speciosa; Perennial; Pink; 3; Medium; Milkweeds (Asclepias spp.) are a great nectar source for bees and beneficial insects, and larval host for the monarch butterfly. Can spread in gardens.
Northern Plains Region; Forbs; Mid; Showy ticktrefoil; Desmodium canadense; Perennial; Pink; 6; Low; Legume. Grows well in moist sandy or rocky soils. Highly attractive to bees and beneficial flies. Larval host for multiple butterflies.
Northern Plains Region; Forbs; Mid; Wild bergamot; Monarda fistulosa; Perennial; Purple, Pink; 4; Medium; Hawk moths, hummingbirds, and long-tongued bumble bees (such as Bombus pensylvanicus) are common visitors. Larval host for the hermit sphinx moth.
Northern Plains Region; Forbs; Mid-Late; Dotted blazing star; Liatris punctata; Perennial; Purple; 2; Low; Blazing stars (Liatris spp.) support bees as well as many butterflies including monarchs, swallowtails, skippers, and sulfurs.
Northern Plains Region; Forbs; Mid-Late; Prairie ironweed; Vernonia fasciculata; Perennial; Purple; 6; Medium; Grows under a variety of conditions. Vernonia spp. attracts late summer butterflies and bees. Larval host for yellow-spotted tiger moth.
Northern Plains Region; Forbs; Mid-Late; Upright prairie coneflower; Ratibida columnifera; Perennial; Yellow; 3.5; Low; Deer-repellent foliage. Attracts diverse bee species as well as beneficial flies, beetles, and wasps during its long bloom period.
Northern Plains Region; Forbs; Late; Maximilian sunflower; Helianthus maximiliani; Perennial; Yellow; 8; Low; Vigorous and may spread. Attracts a diversity of bees and other pollinators. Larval host for gorgone checkerspot and bordered patch butterflies.
Northern Plains Region; Forbs; Late; Smooth blue aster; Symphyotrichum laeve; Perennial; Purple; 3; Medium; Grows in many soils. Asters (Symphyotrichum spp.) are visited by butterflies, bees, and other beneficial insects.
Northern Plains Region; Forbs; Late; Stiff goldenrod; Oligoneuron rigidum; Perennial; Yellow; 3; Medium; Establishes easily from seed. Drought tolerant. Attracts butterflies, honey bees, beneficial wasps, and beetles.
Northern Plains Region; Forbs; Late; Stiff sunflower; Helianthus pauciflorus; Perennial; Yellow; 5; Low; Easy to grow, but can spread. Draws in many pollinators. Larval host for the gorgone checkerspot and several moths.
Northern Plains Region; Shrubs & Trees; Early-Mid; Chokecherry; Prunus virginiana; Perennial; White; 20; Medium; Adapts to many conditions. Supports a diversity of beneficial insects. Fruits important for birds. Larval host for a large number of lepidopteran spp.
Northern Plains Region; Shrubs & Trees; Early-Mid; Silver buffaloberry; Shepherdia argentea; Perennial; White; 16; Medium; Low maintenance. Tolerates poor soil and drought. Inconspicuous flowers attract bees and flies. Berries eaten by birds.
Northern Plains Region; Shrubs & Trees; Mid; Leadplant; Amorpha canescens; Perennial; Purple; 3; Low; Legume. Grows well in open areas and dry prairies. Larval host for leadplant flower moth (in decline).
Northern Plains Region; Shrubs & Trees; Mid; Woods rose; Rosa woodsii; Perennial; Pink; 6; Low; Tolerates some shade and various soils. Attracts bees, butterflies, wasps, and flies. Larval host for white-lined sphinx moth.
Southeast Region; Forbs; Early; Golden Alexanders; Zizia aurea; Perennial; Yellow; 3; High; Tolerates some shade. Attracts bees and beneficial wasps and flies. Larval host for black swallowtails and grass miner moth.
Southeast Region; Forbs; Early; White wild indigo; Baptisia alba; Perennial; White; 5; Low; Legume. Excellent for bees, especially bumble bees (Bombus spp.). Larval host for hoary edge and frosted elfin butterflies, and the black-spotted prominent moth.
Southeast Region; Forbs; Early-Mid; Butterfly milkweed; Asclepias tuberosa; Perennial; Orange; 3; Low; Fantastic nectar source for many insects. Larval host plant for monarch and queen butterflies, and the cycnia tiger moth.
Southeast Region; Forbs; Early-Mid; Clasping coneflower; Dracopis amplexicaulis; Perennial; Yellow, Red; 3; Medium-High; This showy annual coneflower is relatively low cost and establishes easily from seed. Excellent for mass plantings.
Southeast Region; Forbs; Early-Mid; Eastern smooth penstemon; Penstemon laevigatus; Perennial; Purple; 3; Medium; Attracts bumble bees and mason bees, who squeeze into its beautiful tubular flowers. P. digitalis and P. smallii are also excellent.
Southeast Region; Forbs; Early-Mid; Lanceleaf coreopsis; Coreopsis lanceolata; Perennial; Yellow; 2; Low; Extended bloom period makes coreopsis a valuable addition to pollinator gardens. Larval host for the common tan wave moth.
Southeast Region; Forbs; Mid; Black-eyed Susan; Rudbeckia hirta; Annual, Biennial, Perennial; Yellow; 3; Low; Supports bees and birds with nectar and seed. Larval host for the gorgone checkerspot and bordered patch butterfly. Easy to grow.
Southeast Region; Forbs; Mid; Rattlesnake master; Eryngium yuccifolium; Perennial; White; 6; Medium; Supports a huge diversity of bees, butterflies, wasps, and more. Larval host for the twirler moth. Good for wet sites.
Southeast Region; Forbs; Mid; Wild bergamot; Monarda fistulosa; Perennial; Purple; 4; Medium; Along with dotted mint (M. punctata), it is excellent for bees, butterflies, moths, and hummingbirds.
Southeast Region; Forbs; Mid-Late; Eastern rosemallow; Hibiscus moscheutos; Annual, Perennial; White, Pink, Red; 8; High; Showy flowers offer nectar to many insects. Larval host for the hibiscus bee, gray hairstreak, and Io and other moths.
Southeast Region; Forbs; Mid-Late; Joe Pye weed; Eutrochium fistulosum; Perennial; Pink; 7; High; Primary known as a butterfly plant. Excellent late-season nectar source for bees, hummingbird moths, and other insects. Larval host for common pug and arctiid moths.
Southeast Region; Forbs; Mid-Late; Marsh blazing star; Liatris spicata; Perennial; Purple; 4; Medium; A butterfly magnet that is also wonderful for bees late in the season.
Southeast Region; Forbs; Mid-Late; Narrowleaf mountain mint; Pycnanthemum tenuifolium; Perennial; White; 2.5; Medium; Mountain mints (Pycnanthemum spp.) have fragrant foliage and are visited by blue and copper butterflies, bees, wasps, and flies.
Southeast Region; Forbs; Mid-Late; New York ironweed; Vernonia noveboracensis; Perennial; Purple; 7; High; Attracts many butterflies and bees, including Melissodes denticulata, a specialist longhorn bee.
Southeast Region; Forbs; Mid-Late; Wingstem; Verbesina alternifolia; Perennial; Yellow; 6; Medium; Supports a great diversity of bees and wasps. Larval host plant for the silvery checkerspot, summuz azure, and gold moths.
Southeast Region; Forbs; Late; Narrowleaf sunflower; Helianthus angustifolius; Perennial; Yellow; 6; Medium-High; Supports many longhorned bees that are sunflower specialists. Larval host for numerous butterflies and moths.
Southeast Region; Forbs; Late; Wrinkleleaf goldenrod; Solidago rugosa; Perennial; Yellow; 6; Medium-High; Goldenrods support a huge diversity of bees, butterflies, moths, wasps, and flies. Vital resource for fall-migrating monarchs.
Southeast Region; Shrubs & Trees; Early; Cockspur hawthorn; Crataegus crus-galli; Perennial; White; 35; Low; An important early spring nectar source for bees. Supports a large number of moths, butterflies, and other insects.
Southeast Region; Shrubs & Trees; Early; Eastern redbud; Cercis canadensis; Perennial; Pink; 30; Low; An important spring nectar source for bees. Larval host for many butterflies and moths. Leafcutter bees use leaves for nesting.
Southeast Region; Shrubs & Trees; Early-Mid; Highbush blueberry; Vaccinium corymbosum; Perennial; White, Pink; 12; Medium; Supports the southeastern blueberry bee, mining bees, and bumble bees, plus many butterflies and moths. Brilliant fall color.
Southeast Region; Shrubs & Trees; Early-Mid; New Jersea tea; Ceanothus americanus; Perennial; White; 3; Low-Medium; An excellent early spring pollen and nectar source for bees. Larval host for many butterflies and moths.
Southeast Region; Shrubs & Trees; Early-Mid; Pasture rose; Rosa carolina; Perennial; Pink; 3; Low; Provides nectar and pollen for bees and is a larval host for a wide diversity of butterflies and moths. Edible petals and rosehips.
Southeast Region; Shrubs & Trees; Mid-Late; Buttonbush; Cephalanthus occidentalis; Perennial; White; 12; High; Blooms are butterfly magnets, vital in mid-season when little else is in flower. Larval host for many butterflies and moths.
Southeast Region; Shrubs & Trees; Mid-Late; Purple passionflower, maypop; Passiflora incarnata; Perennial; Purple; 20; Low-Medium; Vine. Attracts bees and hosts the larvae of gulf and varigated fritillaries, the Plebeian sphinx moth, and the zebra longwing. Fruits are edible.
Southern Plains Region; Forbs; Early; Antelope horns milkweed; Asclepias asperula spp. capricornu; Perennial; Green; 2; Medium; Asclepias spp. are larval hosts for monarch, queen, and soldier butterflies. Highly attractive to bees and beneficial insects.
Southern Plains Region; Forbs; Early; Cream wild indigo; Baptisia bracteata; Perennial; Yellow; 2; Low; Found in the eastern half of the region. Visited by queen bumble bees and other long-tongued bees. Larval host for butterfly and moth species.
Southern Plains Region; Forbs; Early; Prairie penstemon; Penstemon cobaea; Perennial; Purple; 2; Low; Grows in a variety of soils. Visited by butterflies, moths, and bees. Larval host for the dotted checkerspot butterfly.
Southern Plains Region; Forbs; Early; Prairie spiderwort; Tradescantia occidentalis; Perennial; Blue; 2; Low; Drought tolerant. Will grow in partial shade. Deer resistant. Attracts bumble bees, honey bees, and beneficial flies.
Southern Plains Region; Forbs; Early-Mid; Scarlet globemallow; Sphaeralcea coccinea; Biennial, Perennial; Orange; 1; Low; Sphaeralcea spp. are drought tolerant. Visited by bees and butterflies. Larval host for the small checkered skipper.
Southern Plains Region; Forbs; Early-Mid; Blanketflower; Gaillardia pulchella; Annual, Biennial, Perennial; Red, Orange; 2; Low; Establishes easily from seed. Supports a wide range of beneficial insects. Grows as an annual, biennial, or perennial.
Southern Plains Region; Forbs; Mid; Lemon beebalm; Monarda citriodora; Annaul, Biennial, Perennial; Purple; 2; Low; Hawk moths, hummingbirds, and long-tongued bees (including bumble bees) are visitors. Grows as annual, biennial, or perennial.
Southern Plains Region; Forbs; Mid; Mexican hat; Ratibida columnifera; Perennial; Yellow, Red; 2; Low; Foliage repellant to deer. Attracts bees and beneficial flies, beetles, and wasps during its long bloom period.
Southern Plains Region; Forbs; Mid; Narrowleaf coneflower; Echinacea purpurea; Perennial; Pink; 3; Low; Key nectar source for skippers. Echinaecea spp. attract bees in the genera Bombus, Melissodes, Svastra, and Megachile.
Southern Plains Region; Forbs; Mid; Narrowleaf mountain mint; Pycnanthemum tenuifolium; Perennial; White; 3; Medium; Found in eastern half of the region. Attracts blue and copper butterflies, many bees (including honey bees), beetles, flies, and more.
Southern Plains Region; Forbs; Mid; Purple poppy mallow; Callirhoe involucrata; Perennial; Purple; 1; Low; Drought tolerant. Long bloom period. Attracts bees and beneficial flies. Larval host for the grey hairstreak butterfly.
Southern Plains Region; Forbs; Mid; White prairie clover; Delea candida; Perennial; White; 2; Low; This and D. purpurea are very attractive to pollinators and beneficial insects. Larval host for the southern dogface butterfly.
Southern Plains Region; Forbs; Mid; Baldwin's ironweed; Vernonia baldwinii; Perennial; Purple; 5; Low; Grows under a variety of conditions. Spreads via rhizomes. Attract late summer butterflies and bees.
Southern Plains Region; Forbs; Mid-Late; Dotted blazing star; Liatris punctata; Perennial; Purple; 2.5; Medium; Liatris spp. are the primary nectar source for many skipper species. Attracts numerous bee and butterfly species (including monarchs).
Southern Plains Region; Forbs; Mid-Late; Leavenworth's eryngo; Eryngium leavenworthii; Annual; Purple; 3; Low; showy annual with spiky flowers that provides brilliant summer color. Attracts bees. Deer resistant. Tolerates partial shade.
Southern Plains Region; Forbs; Mid-Late; Wholeleaf rosinweed; Silphium integrifolium; Perennial; Yellow; 6; Low; Grows in a variety of soils. Attracts bees and beneficial flies. Larval host for the silphium moth.
Southern Plains Region; Forbs; Late; Aromatic aster; Symphyotrichum oblongifolium; Perennial; Purple; 2; Low; Late blooming with fragrant foliage. Visited by butterflies, moths, bees, and beneficial wasps and flies. Larval host for many moths.
Southern Plains Region; Forbs; Late; Azure blue sage; Salvia azurea; Perennial; Blue; 6; Low; Grows in a variety of soils. Fragrant foliage. Attracts long-tongued bees. Larval host for the hermit sphinx moth.
Southern Plains Region; Forbs; Late; Giant goldenrod; Solidago gigantea; Perennial; Yellow; 7; Medium; Very adaptable. Spreads via rhizomes. Beyond attracting pollinators, goldenrods are host plants for several moth species.
Southern Plains Region; Forbs; Late; Maximilian sunflower; Helianthus maximiliani; Perennial; Yellow; 8; Low; This plant may spread easily, via rhizome and seed. Very attractive to a huge diversity of bees and other pollinators.
Southern Plains Region; Forbs; Late; Showy goldenrod; Solidago speciosa; Perennial; Yellow; 5; Medium; Goldenrods are frequented by beneficial solitary wasps, pollen eating soldier beetles, honey bees, monarch butterflies, and much more.
Southern Plains Region; Shrubs & Trees; Early; Chickasaw plum; Prunus angustifolia; Perennial; White; 25; Medium; Thicket-forming shrub or tree with fragrant flowers that attract bees and butterflies. Larval host for several butterfly species.
Southern Plains Region; Shrubs & Trees; Mid; False indigo bush; Amorpha fruticosa; Perennial; Purple; 12; Medium; Prefers moist soil. Attracts a diversity of bees and beneficial insects. Larval host for numerous butterfly and moth species.
Southern Plains Region; Shrubs & Trees; Late; Buttonbush; Cephalanthus occidentalis; Perennial; White; 8; High; Prefers wet or moist soil. Attracts many long-tongued bees and butterflies. Larval host for numerous moths and butterflies.
Hawaii; Forbs; Year-round; Pua kala; Argemone glauca; Perennial; White, Yellow; 6; Low; Long-lived. Produces delicate, showy flowers and spiny blue-ish green foliage. Grows best in well-drained soil and full sun. Visited by bees and wasps.
Hawaii; Forbs; Early-Mid; Pua'akuhinia; Astelia menziesiana; Perennial; Purple, Red, White, Yellow; 6; High; Produces small, orange-yellow berries. Grows best in well-drained soil and partial sun. Separate male and female plants, so pollinators are especially important. Visited by birds, bees, and flies.
Hawaii; Forbs; Year-round; Water hyssop; Bacopa monnieri; Perennial; Pink, Purple, White; 1; High; Hawaiian name: Ae'ae. Long-lived. Needs regular moisture and full sun. Visited by bees and flies.
Hawaii; Forbs; Year-round; Ko'oko'olau; Bidens hawaiensis; Perennial; Yellow; 6; High; Long-lived with showy flowers. Found at elevations of 1600-4600 feet. Visited by bees and bombilid bee flies.
Hawaii; Forbs; Year-round; Ko'oko'olau; Bidens torta; Perennial; Yellow; 10; Low; Drought-tolerant. Long-lived with showy flowers. Found at elevations of 650-4000 feet. Visited by bees and bombilid bee flies.
Hawaii; Forbs; Year-round; 'Uki'uki; Dianella sandwicensis; Perennial; Blue, White; 3; Medium; Produces blue-purple fruits. Great understory plant. Varied water and sun needs. Visited by bees and beetles.
Hawaii; Forbs; Year-round; Polynesian heliotrope; Heliotropium anomalum; Perennial; Purple, White; 2; Medium; Grows best in full sun with well-drained soil in coastal regions. Visited by small carpenter bees and small butterflies (skippers).
Hawaii; Forbs; Year-round; Salt heliotrope; Heliotropium curassavicum; Perennial, Annual; Purple, Yellow, White; 2; Medium; Grows best in full sun with well-drained soil, and up to 6800 feet in elevation. Visited by bees.
Hawaii; Forbs; Year-round; Nehe; Lipochaeta integrifolia; Perennial; Yellow; 1; Low; Tolerant of high heat, salt spray, and strong winds. Attractive yellow flowers have 25-50 florets per head. Visited by bees.
Hawaii; Forbs; Mid-Late; Opelu; Lobelia hypoleuca; Perennial; Blue, Purple; 12; Medium; Grows best with full sun toward the north and east, and at elevations of 2000-5000 fett. Attracts bees, the hummingbird moth, and butterflies.
Hawaii; Forbs; Mid; Large leaved mint; Phyllostegia macrophylla; Perennial; Pink, White; 3; High; One of over 60 species of endemic Hawaiian scentless mints. A vine with pink and white flowers that attract bees and flies.
Hawaii; Forbs; Year-round; Popolo ku mai-Hawaiian pokeweed; Phytolacca sandwicensis; Perennial; Pink, White; 10; High; Poisonous to humans and other mammals. Birds, however, are unaffected by the toxins, and feed on the berries which helps seed dispersal. Attracts flies.
Hawaii; Forbs; Mid-Late; Native yellow purslane; Portulaca lutea; Perennial; Yellow; 1; Low; Tolerant of drought, wind, salt spray, and heat. Dark brown seed pods form after flowering. Visited by bees and flower flies.
Hawaii; Forbs; Year-round; 'Ihi; Portulaca molokiniensis; Perennial; Yellow; 1.5; Low; Needs dry soil. Drought and heat tolerant. Rare. Restricted to coastal sites. Produces lemon-yellow flowers that attract bees and flower flies.
Hawaii; Forbs; Year-round; 'Ihi makole; Portulaca sclerocarpa; Perennial; White, Pink; 1; Low; Needs dry soil. Vulnerable endemic species. Rare. Occurs mostly in dry habitats at high elevations. Visited by bees and flower flies.
Hawaii; Forbs; Year-round; Hairy purslane; Portulaca villosa; Perennial; White, Pink; 2.5; Low; Needs dry soil. Drought, wind, heat, and salt spray tolerant. Visited by bees and flower flies.
Hawaii; Forbs; Year-round; Dwarf naupaka; Scaevola coriacea; Perennial; White; 2; Low; Drought, wind, salt spray, and heat tolerant. Needs dry soil. Small purple oval fruits are produced after flowering. Visited by bees, flies, and long-tongued moths.
Hawaii; Forbs; Year-round; Shoreline seapurslane; Sesuvium portulacastrum; Perennial; Pink, Purple, White; 1; Low; This succulent is tolerant waterlogged soils, drought, saline soils, salt spray, wind, and heat. Small flowers are visited by bees and flies.
Hawaii; Forbs; Year-round; 'Uhaloa; Waltheria indica; Perennial; Yellow; 6; Low; Drought, wind, salt spray, and heat tolerant. Leaves are silvery and fuzzy. Tiny yellow flowers resemble miniature hibiscus, and attract bees and butterflies.
Hawaii; Shrubs & Trees; Early; Hiddenpetal Indian mallow; Abultilon eremitopetalum; Perennial; Green, Red; 10; Low; Drought tolerant shrub. Lime green fower petals are completely hidden from site, but a promenent red stamen is visible. Attracts bees, birds, and butterflies.
Hawaii; Shrubs & Trees; Early; Koa; Acacia koa; Perennial; White, Yellow; 50; Low; The largest native tree in the Hawaiian Islands. Nitrogen-fixing. Great for erosion control. Showy powder puff flowers are visited by bees and flies.

Southwest Region; Shrubs & Trees; Mid-Late; Prairie acacia; Acaciella angustissima; Perennial; White; 3; Low; A thornless acacia with lacy foliage. Makes good ground cover and erosion control. Attracts butterflies, bees, and moths.
Southwest Region; Shrubs & Trees; Early-Late; Whitebrush; Aloysia gratissima; Perennial; White; 10; Medium; Blooms best in full sun. Produces strongly vanilla-scented flowers, attracting many bee species. Used as shelter by small birds and lizards.
Southwest Region; Forbs; Early-Late; Pine-needle milkweed; Asclepias linaria; Perennial; White; 6; Medium; Grows well in full sun and well-draining soil. Attracts bees, and is a larval host for the Queen and Monarch butterflies.
Southwest Region; Shrubs & Trees; Mid; Pink fairyduster; Calliandra eriophylla; Perennial; White, Pink; 3; Low; Heat and drought tolerant. Excellent understory option. Attracts bees, swallowtail butterflies, and hummingbirds.
Southwest Region; Forbs; Early-Late; Palmleaf thoroughwort; Conoclinium dissectrum; Perennial; Blue, Purple; 3; Medium; One of the best butterfly attracting plants available. Queens are especially fond of the Palmleaf thoroughwort. Larval host to Rawsons metalmark butterfly.
Southwest Region; Shrubs & Trees; Early; Rosary babybonnets; Coursetia glandulosa; Perennial; White, Pink; 20; Low; Pink and white pea shaped blooms attract carpenter and bumble bees.
Southwest Region; Shrubs & Trees; Early; Santa Catalina prairie clover; Dalea pulchra; Perennial; Purple; 4; Medium; Enjoys full sun and is drought tolerant. Found at 2,000 to 5,000 feet. Larval host plant for numerous native butterflies, also excellent for bees and birds.
Southwest Region; Shrubs & Trees; Early-Late; Desert lavender; Hyptis emoryi; Perennial; Blue, Purple; 8; Low; Has leaves that can be crushed and used to make a flavorful tea and the flowers smell faintly of honey. A favorite plant of many native bees.
Southwest Region; Shrubs & Trees; Mid-Late; Velvetpod mimosa; Mimosa dysocarpa; Perennial; Pink; 6; Low; Be careful where you place this shrub, because it comes with sharp thorns. A favorite of butterflies. Birds also visit and feed on the seed.
Southwest Region; Forbs; Mid; Passionflower vine; Passiflora incarnata; Perennial; Pink, Blue, Purple; 36; Medium; A climbing vine with showy ornamental blooms. Good for ground cover, fences, walls, and columns. A butterfly favorite.
Southwest Region; Forbs; Early-Late; Desert senna; Senna covesii; Perennial; Yellow; 2; Low; Good understory option. Larval host to the cloudless sulphur butterfly. Carpenter and bumble bees feed on the pollen of the bright yellow flowers.
Rocky Mountain Region; Forbs; Early; Little western bittercress; Cardamine oligosperma; Perennial, Annual; White; 2; Medium; Harvested from the wild as a food and medicine. Visited by bees and other insects.
Rocky Mountain Region; Forbs; Early; Sierra larkspur; Delphinium glaucum; Perennial; Purple, Blue; 8; High; Be cautious as this plant is fatally toxic to humans and animals. Attracts bees, butterflies, hummingbirds, and other birds.
Rocky Mountain Region; Forbs; Early; Arctic pearlwort; Sagina saginoides; Biennial; White; 1; High; Requires high water and partial shade. Attracts bees and other insect pollinators.
